journal;concept;topconcept
<http://data.gesis.org/softwarekg/PMC/journal/881>;Atomic and Molecular Physics, and Optics;Engineering
<http://data.gesis.org/softwarekg/PMC/journal/5977>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/5977>;Public Health, Environmental and Occupational Health;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/7999>;Genetics;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/2568>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/2568>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/2568>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/2568>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/2568>;Agricultural and Biological Sciences (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/2568>;Agricultural and Biological Sciences (miscellaneous);Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/2568>;Agricultural and Biological Sciences (miscellaneous);Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/2568>;Agricultural and Biological Sciences (miscellaneous);Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/2568>;Immunology and Microbiology (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/2568>;Immunology and Microbiology (miscellaneous);Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/2568>;Immunology and Microbiology (miscellaneous);Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/2568>;Immunology and Microbiology (miscellaneous);Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/2568>;Neuroscience (miscellaneous);Biochemistry, Genetics and Molecular Biology
